,N,B2/E2-1,E2/B2-1
0,13.0,0.9711780954327429,33.69583342996814
1,15.0,0.8606462659325236,6.175982808726108
2,16.0,0.6848356874627274,2.1729480788905504
3,17.0,0.2144010253108727,0.27291408494482094
4,19.0,9.763766459300207,0.9070957174906029
5,20.0,43.62914760471836,0.9775931189890286
6,22.0,5.419627050467642,0.8442277110276749
7,24.0,1.8452468346029034,0.6485366443999349
8,26.0,0.9480047750928722,0.48665423576678635
9,28.0,0.5781993329286698,0.36636647910356374
10,31.0,0.32406705983444695,0.2447512438493608
11,33.0,0.2350417297238396,0.19031075960194144
12,36.0,0.15446961694182038,0.1338013704951448
13,39.0,0.10701618151171263,0.0966708376074269
14,43.0,0.06953255333209447,0.06501209628025628
15,47.0,0.04745385388640894,0.045304004286526846
16,51.0,0.03362261412733183,0.03252890723150322
17,55.0,0.02454552671032809,0.023957477799098237
18,60.0,0.017138140323790938,0.016849373398125877
19,65.0,0.012344878560715514,0.012194340903138303
20,71.0,0.008613502987219902,0.008539944152749513
21,77.0,0.006196644414144584,0.006158482488035502
22,84.0,0.004357477080547542,0.0043385718531352
23,91.0,0.003154254993182763,0.0031443369526496226
24,99.0,0.002246115196857577,0.0022410814697110763
25,108.0,0.0015826230169715453,0.0015801222790830392
26,117.0,0.0011472524913212895,0.0011459378113123661
27,127.0,0.0008253258653885864,0.000824645264322165
28,138.0,0.0005913674017741076,0.0005910178930582925
29,151.0,0.0004121482357811322,0.0004119784395940823
