,N,Time
0,13.0,0.0500944972038269
1,15.0,0.053357998530069985
2,16.0,0.1736435850461324
3,17.0,0.07605618238449097
4,19.0,0.15113512674967447
5,20.0,0.07412588993708293
6,22.0,0.08057373762130737
7,24.0,0.20287288029988607
8,26.0,0.11207003196080526
9,28.0,0.11845068534215292
10,31.0,0.21616912682851155
11,33.0,0.16406657695770263
12,36.0,0.21022844711939495
13,39.0,0.22354582945505777
14,43.0,0.2896030306816101
15,47.0,0.534109628200531
16,51.0,0.4420626362164815
17,55.0,0.5297288656234741
18,60.0,0.6431128938992818
19,65.0,0.8252898097038269
20,71.0,1.0527473012606303
21,77.0,1.3641623536745706
22,84.0,2.7738351861635846
23,91.0,3.5884591221809385
24,99.0,4.530440783500671
25,108.0,4.2307199239730835
26,117.0,7.596827677885691
27,127.0,6.024566372235616
28,138.0,7.559548195203146
29,151.0,9.747596967220307
