,N,Gyzz,dxGyzz,3R,B2,BT,E2,ET
0,13.0,36.62276663314588,128224.4575045645,1569.7399089718217,1363.441283146427,7.703719777548943e-34,7721350.996128931,1.4210854715202004e-14
1,15.0,10.008533325607866,6346.440737444649,132.58412536371767,116.08069057287058,8.425943506694157e-34,55452.75799325089,2.3684757858670005e-15
2,16.0,5.77934982843384,1882.7533320283333,49.36456168743467,43.489974520419615,1.2413220344683356e-33,7788.05189553535,1.5543122344752192e-15
3,17.0,3.510352048358342,653.5383449735389,21.122141660103843,18.7444512711814,9.100018987229689e-34,1466.0119303119122,6.217248937900876e-16
4,19.0,1.4603228287440098,117.03583123352162,5.45637001774896,4.9144570107620185,3.440880195284695e-33,111.48089337323292,3.1720657846433045e-16
5,20.0,0.9885436824874207,58.36748240331845,3.174782076132348,2.87758559119785,2.202782373892901e-33,42.24497528266174,7.632783294297951e-17
6,22.0,0.4886112960225514,18.614903230227036,1.2974667375759545,1.1870487905282714,1.877119657359172e-32,9.664690196786632,9.43689570931383e-17
7,24.0,0.2619551318842866,7.555235306831232,0.6295447537388521,0.5792199483957159,9.682499947949149e-33,3.378748136172257,7.401486830834377e-17
8,26.0,0.14973683944160707,3.601177063735387,0.34115864270264507,0.31490743851389963,2.353353124567372e-32,1.5245268487165122,1.0457904383745894e-16
9,28.0,0.09014394470247218,1.9151359502265406,0.19940392480668395,0.18440654959156783,3.2229527786692856e-32,0.8030610769254172,1.3010426069826053e-16
10,31.0,0.04552076623827221,0.8542734601343756,0.09843277843818918,0.0911658484015023,1.7526754405907558e-32,0.3654827912459697,1.1759599142411197e-16
11,33.0,0.03012124576418527,0.5334501227174855,0.06461637286026271,0.059878351499776265,8.340000315909466e-32,0.23312171052050723,1.1234399653945036e-16
12,36.0,0.017077692167769554,0.28350641315609737,0.03638672377047147,0.03373465168198414,1.902422878557232e-31,0.12807903653041408,1.0668549377257364e-16
13,39.0,0.010197698410293674,0.16146150898149345,0.021649405465409128,0.02007672179653446,7.089379611123287e-32,0.07521188387736652,9.277558145594479e-17
14,42.0,0.006356273887423776,0.09707319819167612,0.013466828117069162,0.012490468745900006,2.231280494696948e-31,0.0464420897698603,1.04314705022072e-16
15,46.0,0.0035764285612535276,0.05266531693484564,0.007566086709111951,0.007018369170334298,3.1778347747145358e-31,0.025953742068290448,8.796068448776516e-17
16,50.0,0.002120284721534056,0.030378780426748842,0.004482063306259782,0.004157884907221518,2.266295546283054e-31,0.01533170700390213,1.0097916654896572e-16
17,54.0,0.0013126786524764599,0.018412788342242234,0.002773660665751216,0.0025731559713407797,5.691916925744012e-31,0.00947307155554782,1.0540510263554313e-16
18,59.0,0.0007584067445724709,0.01042250340923946,0.0016020131093026926,0.0014862548607408128,9.426543106023701e-31,0.0054656285912732935,9.094380095333729e-17
19,64.0,0.0004593202443956856,0.00621370127642624,0.0009700802858483293,0.0009000034800410577,5.17770589879227e-31,0.0033077422365030895,9.84789173285295e-17
20,70.0,0.0002649730639480343,0.003532841949985201,0.0005595593750504013,0.000519146707265234,1.1685992057782093e-30,0.0019072503842156668,9.774269516365872e-17
21,76.0,0.00016022527187290261,0.002112496751891603,0.0003383366246452746,0.00031390484456794016,1.1090838570771017e-30,0.001152983384768165,9.497611030973019e-17
22,82.0,0.00010079395837696886,0.00131728299816776,0.00021283199620051804,0.00019746475922909507,1.1711907780097786e-30,0.0007252059457853661,9.71445146547012e-17
23,89.0,6.122705751544687e-05,0.0007937381312120086,0.0001292810635040402,0.00011994738060046576,2.3052942648226523e-30,0.0004404801844498841,1.002985573382954e-16
24,97.0,3.63042285836253e-05,0.00046727981189503235,7.665516024155268e-05,7.112133870855023e-05,1.6314198228950638e-30,0.0002611632861337059,9.404242090942502e-17
25,106.0,2.1204046638487833e-05,0.00027123531960327623,4.477112960854041e-05,4.153926479158289e-05,2.7491264618527984e-30,0.00015253034628603707,1.0644558520674706e-16
26,115.0,1.2949685449243173e-05,0.00016485538008614636,2.7342329581899844e-05,2.536868454443866e-05,2.915369514932241e-30,9.315086739804361e-05,1.0893389750114552e-16
27,125.0,7.823796586574695e-06,9.918696545089173e-05,1.6519302353087983e-05,1.5326943760829447e-05,2.1247770896827732e-30,5.627802941393302e-05,1.1353995423295988e-16
28,136.0,4.702213857913255e-06,5.940112282443357e-05,9.92830211259972e-06,9.211705544923568e-06,5.139909403400724e-30,3.382358312384225e-05,9.596937939678142e-17
29,147.0,2.9415735904787443e-06,3.7056234102333316e-05,6.210853802513375e-06,5.762584457069263e-06,4.396924567255482e-30,2.115896959856741e-05,1.0002287064447012e-16
