,N,Time
0,8.0,2.651240348815918
1,12.0,3.484658718109131
2,16.0,3.7625796794891357
3,20.0,4.86724853515625
4,24.0,14.431139469146729
5,28.0,7.707354784011841
6,32.0,8.990123987197876
7,36.0,12.092453956604004
8,40.0,14.855137586593628
9,44.0,18.098896265029907
10,48.0,21.800175428390503
11,52.0,27.627254247665405
12,56.0,32.50002384185791
13,60.0,40.04047155380249
14,64.0,46.75465106964111
15,68.0,69.6991913318634
16,72.0,66.02208757400513
17,76.0,76.43108987808228
18,80.0,90.67467999458313
19,84.0,169.362868309021
20,88.0,190.17058396339417
21,92.0,216.0432848930359
22,96.0,249.55658841133118
23,100.0,288.412602186203
24,104.0,317.6044054031372
25,108.0,219.3601095676422
26,112.0,390.7196183204651
