,N,B2/E2-1,E2/B2-1
0,13.0,0.4780687026504471,0.9159609800718091
1,15.0,1.1048797647453028,0.5249134811645628
2,16.0,3.5083599991749286,0.7781898517015037
3,17.0,10.34131697603606,0.911826818515612
4,19.0,4.528785906460785,0.8191284638402387
5,20.0,1.1463996784032309,0.5341035455503195
6,22.0,0.08515396792628872,0.09308010850008001
7,24.0,0.2144608236564,0.2730109841938595
8,26.0,0.19847594205797986,0.24762318746561812
9,28.0,0.16230254807060984,0.19374840844602495
10,31.0,0.11464245798150878,0.1294871874250261
11,33.0,0.09087379494871449,0.09995729354604636
12,36.0,0.06499636943027358,0.06951456369283752
13,39.0,0.04742686323174442,0.049788159461064595
14,43.0,0.03213871735952949,0.03320591280586227
15,47.0,0.02249301449259148,0.02301059207358576
16,51.0,0.016192283282324266,0.01645878865063933
17,55.0,0.011944988309566628,0.012089396003498114
18,60.0,0.008411464808730323,0.008482817731558196
19,65.0,0.0060921696618852755,0.006129511687027152
20,71.0,0.0042687318666325,0.004287032056987439
21,77.0,0.003079275913502622,0.0030887871413489256
22,84.0,0.0021697290927036404,0.0021744470537366817
23,91.0,0.0015726439499071368,0.0015751210545038637
24,99.0,0.0011209352626484648,0.0011221931685425942
25,108.0,0.0007903506385796417,0.000790975786797823
26,117.0,0.0005731747026026024,0.0005735034202549482
27,127.0,0.00041246273907454803,0.0004126329347850638
28,138.0,0.00029560160070264674,0.0002956890068463832
29,151.0,0.00020604727585111092,0.00020608974008063608
